Series ID,Year,Period,Label,Value
LNS11000000,1980,M01,1980 Jan,106562
LNS11000000,1980,M02,1980 Feb,106697
LNS11000000,1980,M03,1980 Mar,106442
LNS11000000,1980,M04,1980 Apr,106591
LNS11000000,1980,M05,1980 May,106929
LNS11000000,1980,M06,1980 Jun,106780
LNS11000000,1980,M07,1980 Jul,107159
LNS11000000,1980,M08,1980 Aug,107105
LNS11000000,1980,M09,1980 Sep,107098
LNS11000000,1980,M10,1980 Oct,107405
LNS11000000,1980,M11,1980 Nov,107568
LNS11000000,1980,M12,1980 Dec,107352
LNS11000000,1981,M01,1981 Jan,108026
LNS11000000,1981,M02,1981 Feb,108242
LNS11000000,1981,M03,1981 Mar,108553
LNS11000000,1981,M04,1981 Apr,108925
LNS11000000,1981,M05,1981 May,109222
LNS11000000,1981,M06,1981 Jun,108396
LNS11000000,1981,M07,1981 Jul,108556
LNS11000000,1981,M08,1981 Aug,108725
LNS11000000,1981,M09,1981 Sep,108294
LNS11000000,1981,M10,1981 Oct,109024
LNS11000000,1981,M11,1981 Nov,109236
LNS11000000,1981,M12,1981 Dec,108912
LNS11000000,1982,M01,1982 Jan,109089
LNS11000000,1982,M02,1982 Feb,109467
LNS11000000,1982,M03,1982 Mar,109567
LNS11000000,1982,M04,1982 Apr,109820
LNS11000000,1982,M05,1982 May,110451
LNS11000000,1982,M06,1982 Jun,110081
LNS11000000,1982,M07,1982 Jul,110342
LNS11000000,1982,M08,1982 Aug,110514
LNS11000000,1982,M09,1982 Sep,110721
LNS11000000,1982,M10,1982 Oct,110744
LNS11000000,1982,M11,1982 Nov,111050
LNS11000000,1982,M12,1982 Dec,111083
LNS11000000,1983,M01,1983 Jan,110695
LNS11000000,1983,M02,1983 Feb,110634
LNS11000000,1983,M03,1983 Mar,110587
LNS11000000,1983,M04,1983 Apr,110828
LNS11000000,1983,M05,1983 May,110796
LNS11000000,1983,M06,1983 Jun,111879
LNS11000000,1983,M07,1983 Jul,111756
LNS11000000,1983,M08,1983 Aug,112231
LNS11000000,1983,M09,1983 Sep,112298
LNS11000000,1983,M10,1983 Oct,111926
LNS11000000,1983,M11,1983 Nov,112228
LNS11000000,1983,M12,1983 Dec,112327
LNS11000000,1984,M01,1984 Jan,112209
LNS11000000,1984,M02,1984 Feb,112615
LNS11000000,1984,M03,1984 Mar,112713
LNS11000000,1984,M04,1984 Apr,113098
LNS11000000,1984,M05,1984 May,113649
