"Geographic Area Name (NAME)","Year (YEAR)","2017 NAPCS collection code (NAPCS2017)","Meaning of NAPCS collection code (NAPCS2017_LABEL)","2017 NAICS code (NAICS2017)","Meaning of NAICS code (NAICS2017_LABEL)","Meaning of Type of operation code (TYPOP_LABEL)","Number of establishments (ESTAB)","Sales, value of shipments, or revenue of NAPCS collection code ($1,000) (NAPCSDOL)","Industry contribution to total NAPCS collection code sales, value of shipments, or revenue (%) (NAICSALL_PCT)","Range indicating percent of total NAPCS collection code sales, value of shipments, or revenue imputed (NAPCSDOL_IMP)","Relative standard error of NAPCS collection code sales, value of shipments, or revenue (%) (NAPCSDOL_S)"
"United States","2017","1000025000","Extraction of natural gas (volumes adjusted to pressure base of 14.73 lb absolute at 60 degrees F)","00","Total for all sectors","All establishments","N","58,786,529","100.0","Less than 10%","0.2"
"United States","2017","1000050000","Extraction of residue gas (volumes adjusted to a pressure base of 14.73 lb absolute at 60 degrees F) from natural gas liquids","00","Total for all sectors","All establishments","N","9,709,571","100.0","Less than 10%","1.0"
"United States","2017","1000075000","Mining of run-of-mine (raw) lignite, for use without processing","00","Total for all sectors","All establishments","28","650,800","100.0","Less than 10%","2.3"
"United States","2017","1000100000","Mining of run-of-mine (raw) lignite, for processing at other establishments","00","Total for all sectors","All establishments","10","405,962","100.0","Less than 10%","3.1"
"United States","2017","1000125000","Mining of processed lignite, washed by wet-washing, pneumatic, or other methods","00","Total for all sectors","All establishments","10","77,824","100.0","Less than 10%","13.3"
"United States","2017","1000150000","Mining of processed lignite (mechanically crushed, screened, or sized only)","00","Total for all sectors","All establishments","39","2,565,495","100.0","Less than 10%","0.4"
"United States","2017","1000175000","Mining of run-of-mine (raw) bituminous coal, for use without processing ","00","Total for all sectors","All establishments","171","2,075,707","100.0","10% to less than 20%","2.1"
"United States","2017","1000200000","Mining of run-of-mine (raw) bituminous coal, for processing at other establishments","00","Total for all sectors","All establishments","87","1,338,088","100.0","Less than 10%","3.3"
"United States","2017","1000225000","Mining of processed bituminous coal, washed by wet-washing, pneumatic, or other methods","00","Total for all sectors","All establishments","170","14,040,579","100.0","Less than 10%","0.2"
"United States","2017","1000250000","Mining of processed bituminous coal (mechanically crushed, screened, or sized only)","00","Total for all sectors","All establishments","105","5,469,022","100.0","Less than 10%","0.3"
