Series ID,Year,Period,Label,Value
LNU02000000,1980,M01,1980 Jan,98111
LNU02000000,1980,M02,1980 Feb,98235
LNU02000000,1980,M03,1980 Mar,98527
LNU02000000,1980,M04,1980 Apr,98569
LNU02000000,1980,M05,1980 May,98732
LNU02000000,1980,M06,1980 Jun,99830
LNU02000000,1980,M07,1980 Jul,100665
LNU02000000,1980,M08,1980 Aug,100202
LNU02000000,1980,M09,1980 Sep,99334
LNU02000000,1980,M10,1980 Oct,99999
LNU02000000,1980,M11,1980 Nov,99850
LNU02000000,1980,M12,1980 Dec,99579
LNU02000000,1981,M01,1981 Jan,98139
LNU02000000,1981,M02,1981 Feb,98401
LNU02000000,1981,M03,1981 Mar,99364
LNU02000000,1981,M04,1981 Apr,100345
LNU02000000,1981,M05,1981 May,100855
LNU02000000,1981,M06,1981 Jun,101419
LNU02000000,1981,M07,1981 Jul,102612
LNU02000000,1981,M08,1981 Aug,102152
LNU02000000,1981,M09,1981 Sep,100389
LNU02000000,1981,M10,1981 Oct,101028
LNU02000000,1981,M11,1981 Nov,100502
LNU02000000,1981,M12,1981 Dec,99562
LNU02000000,1982,M01,1982 Jan,97831
LNU02000000,1982,M02,1982 Feb,97946
LNU02000000,1982,M03,1982 Mar,98471
LNU02000000,1982,M04,1982 Apr,98858
LNU02000000,1982,M05,1982 May,99957
LNU02000000,1982,M06,1982 Jun,100683
LNU02000000,1982,M07,1982 Jul,101490
LNU02000000,1982,M08,1982 Aug,101177
LNU02000000,1982,M09,1982 Sep,99851
LNU02000000,1982,M10,1982 Oct,99825
LNU02000000,1982,M11,1982 Nov,99379
LNU02000000,1982,M12,1982 Dec,98849
LNU02000000,1983,M01,1983 Jan,97262
LNU02000000,1983,M02,1983 Feb,97265
LNU02000000,1983,M03,1983 Mar,97994
LNU02000000,1983,M04,1983 Apr,98840
LNU02000000,1983,M05,1983 May,99543
LNU02000000,1983,M06,1983 Jun,101813
LNU02000000,1983,M07,1983 Jul,103273
LNU02000000,1983,M08,1983 Aug,103167
LNU02000000,1983,M09,1983 Sep,102366
LNU02000000,1983,M10,1983 Oct,102659
LNU02000000,1983,M11,1983 Nov,103018
LNU02000000,1983,M12,1983 Dec,102803
LNU02000000,1984,M01,1984 Jan,101270
LNU02000000,1984,M02,1984 Feb,101961
LNU02000000,1984,M03,1984 Mar,102770
LNU02000000,1984,M04,1984 Apr,103628
LNU02000000,1984,M05,1984 May,105096
LNU02000000,1984,M06,1984 Jun,106812
LNU02000000,1984,M07,1984 Jul,107484
LNU02000000,1984,M08,1984 Aug,106694
LNU02000000,1984,M09,1984 Sep,105792
LNU02000000,1984,M10,1984 Oct,106262
LNU02000000,1984,M11,1984 Nov,106246
LNU02000000,1984,M12,1984 Dec,106049
LNU02000000,1985,M01,1985 Jan,104344
LNU02000000,1985,M02,1985 Feb,104690
LNU02000000,1985,M03,1985 Mar,105768
LNU02000000,1985,M04,1985 Apr,106175
LNU02000000,1985,M05,1985 May,106880
LNU02000000,1985,M06,1985 Jun,107819
LNU02000000,1985,M07,1985 Jul,108854
LNU02000000,1985,M08,1985 Aug,108628
LNU02000000,1985,M09,1985 Sep,107867
LNU02000000,1985,M10,1985 Oct,108428
LNU02000000,1985,M11,1985 Nov,108282
LNU02000000,1985,M12,1985 Dec,108063
LNU02000000,1986,M01,1986 Jan,106959
LNU02000000,1986,M02,1986 Feb,106685
LNU02000000,1986,M03,1986 Mar,107643
LNU02000000,1986,M04,1986 Apr,108201
LNU02000000,1986,M05,1986 May,109041
LNU02000000,1986,M06,1986 Jun,110869
LNU02000000,1986,M07,1986 Jul,111832
LNU02000000,1986,M08,1986 Aug,111515
LNU02000000,1986,M09,1986 Sep,110229
LNU02000000,1986,M10,1986 Oct,110857
LNU02000000,1986,M11,1986 Nov,110751
LNU02000000,1986,M12,1986 Dec,110588
LNU02000000,1987,M01,1987 Jan,109084
LNU02000000,1987,M02,1987 Feb,109464
LNU02000000,1987,M03,1987 Mar,110229
LNU02000000,1987,M04,1987 Apr,111041
LNU02000000,1987,M05,1987 May,112377
LNU02000000,1987,M06,1987 Jun,113498
LNU02000000,1987,M07,1987 Jul,114652
LNU02000000,1987,M08,1987 Aug,114527
LNU02000000,1987,M09,1987 Sep,113027
LNU02000000,1987,M10,1987 Oct,113898
LNU02000000,1987,M11,1987 Nov,113809
LNU02000000,1987,M12,1987 Dec,113679
LNU02000000,1988,M01,1988 Jan,112139
LNU02000000,1988,M02,1988 Feb,112460
LNU02000000,1988,M03,1988 Mar,112867
LNU02000000,1988,M04,1988 Apr,113905
LNU02000000,1988,M05,1988 May,114222
LNU02000000,1988,M06,1988 Jun,116209
LNU02000000,1988,M07,1988 Jul,117066
LNU02000000,1988,M08,1988 Aug,116737
LNU02000000,1988,M09,1988 Sep,115474
LNU02000000,1988,M10,1988 Oct,116250
LNU02000000,1988,M11,1988 Nov,116314
LNU02000000,1988,M12,1988 Dec,115978
LNU02000000,1989,M01,1989 Jan,114786
LNU02000000,1989,M02,1989 Feb,115023
LNU02000000,1989,M03,1989 Mar,115844
LNU02000000,1989,M04,1989 Apr,116347
LNU02000000,1989,M05,1989 May,117039
LNU02000000,1989,M06,1989 Jun,118719
LNU02000000,1989,M07,1989 Jul,119502
LNU02000000,1989,M08,1989 Aug,119092
LNU02000000,1989,M09,1989 Sep,117498
LNU02000000,1989,M10,1989 Oct,118194
LNU02000000,1989,M11,1989 Nov,118168
LNU02000000,1989,M12,1989 Dec,117698
LNU02000000,1990,M01,1990 Jan,116944
LNU02000000,1990,M02,1990 Feb,117192
LNU02000000,1990,M03,1990 Mar,117986
LNU02000000,1990,M04,1990 Apr,118218
LNU02000000,1990,M05,1990 May,119148
LNU02000000,1990,M06,1990 Jun,120523
LNU02000000,1990,M07,1990 Jul,120882
LNU02000000,1990,M08,1990 Aug,120096
LNU02000000,1990,M09,1990 Sep,118782
LNU02000000,1990,M10,1990 Oct,119175
LNU02000000,1990,M11,1990 Nov,118463
LNU02000000,1990,M12,1990 Dec,118110
LNU02000000,1991,M01,1991 Jan,115837
LNU02000000,1991,M02,1991 Feb,115941
LNU02000000,1991,M03,1991 Mar,116440
LNU02000000,1991,M04,1991 Apr,117472
LNU02000000,1991,M05,1991 May,117428
LNU02000000,1991,M06,1991 Jun,119151
LNU02000000,1991,M07,1991 Jul,119666
LNU02000000,1991,M08,1991 Aug,118758
LNU02000000,1991,M09,1991 Sep,118156
LNU02000000,1991,M10,1991 Oct,118404
LNU02000000,1991,M11,1991 Nov,117972
LNU02000000,1991,M12,1991 Dec,117395
LNU02000000,1992,M01,1992 Jan,115928
LNU02000000,1992,M02,1992 Feb,116024
LNU02000000,1992,M03,1992 Mar,116929
LNU02000000,1992,M04,1992 Apr,117776
LNU02000000,1992,M05,1992 May,118388
LNU02000000,1992,M06,1992 Jun,119831
LNU02000000,1992,M07,1992 Jul,120744
LNU02000000,1992,M08,1992 Aug,120070
LNU02000000,1992,M09,1992 Sep,118880
LNU02000000,1992,M10,1992 Oct,119185
LNU02000000,1992,M11,1992 Nov,119159
LNU02000000,1992,M12,1992 Dec,118990
LNU02000000,1993,M01,1993 Jan,117027
LNU02000000,1993,M02,1993 Feb,117646
LNU02000000,1993,M03,1993 Mar,118350
LNU02000000,1993,M04,1993 Apr,118781
LNU02000000,1993,M05,1993 May,120142
LNU02000000,1993,M06,1993 Jun,121587
LNU02000000,1993,M07,1993 Jul,122352
LNU02000000,1993,M08,1993 Aug,122018
LNU02000000,1993,M09,1993 Sep,120673
LNU02000000,1993,M10,1993 Oct,121389
LNU02000000,1993,M11,1993 Nov,121568
LNU02000000,1993,M12,1993 Dec,121578
LNU02000000,1994,M01,1994 Jan,119901
LNU02000000,1994,M02,1994 Feb,120503
LNU02000000,1994,M03,1994 Mar,120844
LNU02000000,1994,M04,1994 Apr,121604
LNU02000000,1994,M05,1994 May,122946
LNU02000000,1994,M06,1994 Jun,123864
LNU02000000,1994,M07,1994 Jul,124503
LNU02000000,1994,M08,1994 Aug,124493
LNU02000000,1994,M09,1994 Sep,123775
LNU02000000,1994,M10,1994 Oct,124724
LNU02000000,1994,M11,1994 Nov,124896
LNU02000000,1994,M12,1994 Dec,124729
LNU02000000,1995,M01,1995 Jan,122597
LNU02000000,1995,M02,1995 Feb,123343
LNU02000000,1995,M03,1995 Mar,123943
LNU02000000,1995,M04,1995 Apr,124278
LNU02000000,1995,M05,1995 May,124554
LNU02000000,1995,M06,1995 Jun,125720
LNU02000000,1995,M07,1995 Jul,126548
LNU02000000,1995,M08,1995 Aug,125926
LNU02000000,1995,M09,1995 Sep,125173
LNU02000000,1995,M10,1995 Oct,125979
LNU02000000,1995,M11,1995 Nov,125599
LNU02000000,1995,M12,1995 Dec,125136
LNU02000000,1996,M01,1996 Jan,123126
LNU02000000,1996,M02,1996 Feb,124137
LNU02000000,1996,M03,1996 Mar,124992
LNU02000000,1996,M04,1996 Apr,125388
LNU02000000,1996,M05,1996 May,126391
LNU02000000,1996,M06,1996 Jun,127706
LNU02000000,1996,M07,1996 Jul,128579
LNU02000000,1996,M08,1996 Aug,128143
LNU02000000,1996,M09,1996 Sep,127529
LNU02000000,1996,M10,1996 Oct,128439
LNU02000000,1996,M11,1996 Nov,128157
LNU02000000,1996,M12,1996 Dec,127903
LNU02000000,1997,M01,1997 Jan,126384
LNU02000000,1997,M02,1997 Feb,126887
LNU02000000,1997,M03,1997 Mar,128125
LNU02000000,1997,M04,1997 Apr,128629
LNU02000000,1997,M05,1997 May,129565
LNU02000000,1997,M06,1997 Jun,130463
LNU02000000,1997,M07,1997 Jul,131350
LNU02000000,1997,M08,1997 Aug,130865
LNU02000000,1997,M09,1997 Sep,129972
LNU02000000,1997,M10,1997 Oct,130671
LNU02000000,1997,M11,1997 Nov,130999
LNU02000000,1997,M12,1997 Dec,130785
LNU02000000,1998,M01,1998 Jan,128882
LNU02000000,1998,M02,1998 Feb,129482
LNU02000000,1998,M03,1998 Mar,130150
LNU02000000,1998,M04,1998 Apr,130735
LNU02000000,1998,M05,1998 May,131476
LNU02000000,1998,M06,1998 Jun,132265
LNU02000000,1998,M07,1998 Jul,132769
LNU02000000,1998,M08,1998 Aug,132206
LNU02000000,1998,M09,1998 Sep,131864
LNU02000000,1998,M10,1998 Oct,132424
LNU02000000,1998,M11,1998 Nov,132577
LNU02000000,1998,M12,1998 Dec,132732
LNU02000000,1999,M01,1999 Jan,131339
LNU02000000,1999,M02,1999 Feb,131639
LNU02000000,1999,M03,1999 Mar,132299
LNU02000000,1999,M04,1999 Apr,132552
LNU02000000,1999,M05,1999 May,133411
LNU02000000,1999,M06,1999 Jun,134395
LNU02000000,1999,M07,1999 Jul,134800
LNU02000000,1999,M08,1999 Aug,134264
LNU02000000,1999,M09,1999 Sep,133555
LNU02000000,1999,M10,1999 Oct,134390
LNU02000000,1999,M11,1999 Nov,134515
LNU02000000,1999,M12,1999 Dec,134696
LNU02000000,2000,M01,2000 Jan,134912
LNU02000000,2000,M02,2000 Feb,135490
LNU02000000,2000,M03,2000 Mar,136054
LNU02000000,2000,M04,2000 Apr,136927
LNU02000000,2000,M05,2000 May,136685
LNU02000000,2000,M06,2000 Jun,137915
LNU02000000,2000,M07,2000 Jul,137769
LNU02000000,2000,M08,2000 Aug,137308
LNU02000000,2000,M09,2000 Sep,136790
LNU02000000,2000,M10,2000 Oct,137532
LNU02000000,2000,M11,2000 Nov,137461
LNU02000000,2000,M12,2000 Dec,137846
LNU02000000,2001,M01,2001 Jan,136181
LNU02000000,2001,M02,2001 Feb,136577
LNU02000000,2001,M03,2001 Mar,137155
LNU02000000,2001,M04,2001 Apr,137022
LNU02000000,2001,M05,2001 May,137121
LNU02000000,2001,M06,2001 Jun,137737
LNU02000000,2001,M07,2001 Jul,138239
LNU02000000,2001,M08,2001 Aug,136809
LNU02000000,2001,M09,2001 Sep,136835
LNU02000000,2001,M10,2001 Oct,136885
LNU02000000,2001,M11,2001 Nov,136370
LNU02000000,2001,M12,2001 Dec,136269
LNU02000000,2002,M01,2002 Jan,134177
LNU02000000,2002,M02,2002 Feb,135443
LNU02000000,2002,M03,2002 Mar,135558
LNU02000000,2002,M04,2002 Apr,135903
LNU02000000,2002,M05,2002 May,136559
LNU02000000,2002,M06,2002 Jun,137181
LNU02000000,2002,M07,2002 Jul,137495
LNU02000000,2002,M08,2002 Aug,137295
LNU02000000,2002,M09,2002 Sep,137377
LNU02000000,2002,M10,2002 Oct,137551
LNU02000000,2002,M11,2002 Nov,136684
LNU02000000,2002,M12,2002 Dec,136599
LNU02000000,2003,M01,2003 Jan,135907
LNU02000000,2003,M02,2003 Feb,136433
LNU02000000,2003,M03,2003 Mar,136783
LNU02000000,2003,M04,2003 Apr,137424
LNU02000000,2003,M05,2003 May,137567
LNU02000000,2003,M06,2003 Jun,138468
LNU02000000,2003,M07,2003 Jul,138503
LNU02000000,2003,M08,2003 Aug,138137
LNU02000000,2003,M09,2003 Sep,137731
LNU02000000,2003,M10,2003 Oct,138619
LNU02000000,2003,M11,2003 Nov,138700
LNU02000000,2003,M12,2003 Dec,138556
LNU02000000,2004,M01,2004 Jan,136924
LNU02000000,2004,M02,2004 Feb,137384
LNU02000000,2004,M03,2004 Mar,137691
LNU02000000,2004,M04,2004 Apr,138423
LNU02000000,2004,M05,2004 May,138867
LNU02000000,2004,M06,2004 Jun,139861
LNU02000000,2004,M07,2004 Jul,140700
LNU02000000,2004,M08,2004 Aug,140226
LNU02000000,2004,M09,2004 Sep,139641
LNU02000000,2004,M10,2004 Oct,140447
LNU02000000,2004,M11,2004 Nov,140581
LNU02000000,2004,M12,2004 Dec,140278
LNU02000000,2005,M01,2005 Jan,138682
LNU02000000,2005,M02,2005 Feb,139100
LNU02000000,2005,M03,2005 Mar,139759
LNU02000000,2005,M04,2005 Apr,140939
LNU02000000,2005,M05,2005 May,141591
LNU02000000,2005,M06,2005 Jun,142456
LNU02000000,2005,M07,2005 Jul,143283
LNU02000000,2005,M08,2005 Aug,143142
LNU02000000,2005,M09,2005 Sep,142579
LNU02000000,2005,M10,2005 Oct,143340
LNU02000000,2005,M11,2005 Nov,142968
LNU02000000,2005,M12,2005 Dec,142918
LNU02000000,2006,M01,2006 Jan,141481
LNU02000000,2006,M02,2006 Feb,141994
LNU02000000,2006,M03,2006 Mar,142772
LNU02000000,2006,M04,2006 Apr,143405
LNU02000000,2006,M05,2006 May,144041
LNU02000000,2006,M06,2006 Jun,145216
LNU02000000,2006,M07,2006 Jul,145606
LNU02000000,2006,M08,2006 Aug,145379
LNU02000000,2006,M09,2006 Sep,145010
LNU02000000,2006,M10,2006 Oct,146125
