MARKUP_spec1,year
1.268841,1955
1.252074,1956
1.248006,1957
1.249474,1958
1.266327,1959
1.251283,1960
1.292296,1961
1.307248,1962
1.326753,1963
1.341467,1964
1.342796,1965
1.33744,1966
1.332752,1967
1.338268,1968
1.34245,1969
1.330829,1970
1.327372,1971
1.322327,1972
1.318287,1973
1.289289,1974
1.276009,1975
1.270653,1976
1.263094,1977
1.27004,1978
1.235734,1979
1.211591,1980
1.208701,1981
1.227129,1982
1.249133,1983
1.260183,1984
1.273094,1985
1.312991,1986
1.324894,1987
1.370868,1988
1.370392,1989
1.370861,1990
1.378099,1991
1.394781,1992
1.385095,1993
1.36902,1994
1.383614,1995
1.408556,1996
1.421195,1997
1.443293,1998
1.467874,1999
1.47911,2000
1.452749,2001
1.451502,2002
1.471061,2003
1.467488,2004
1.468795,2005
1.455943,2006
1.465924,2007
1.445497,2008
1.475943,2009
1.490589,2010
1.463935,2011
1.463123,2012
1.479116,2013
1.490445,2014
1.526917,2015
1.567706,2016
