Series ID,Year,Period,Label,Value
LNU02027714,1980,M01,1980 Jan,8222
LNU02027714,1980,M02,1980 Feb,8457
LNU02027714,1980,M03,1980 Mar,8437
LNU02027714,1980,M04,1980 Apr,8434
LNU02027714,1980,M05,1980 May,8730
LNU02027714,1980,M06,1980 Jun,8589
LNU02027714,1980,M07,1980 Jul,8864
LNU02027714,1980,M08,1980 Aug,8848
LNU02027714,1980,M09,1980 Sep,8849
LNU02027714,1980,M10,1980 Oct,8881
LNU02027714,1980,M11,1980 Nov,8656
LNU02027714,1980,M12,1980 Dec,8742
LNU02027714,1981,M01,1981 Jan,8358
LNU02027714,1981,M02,1981 Feb,8537
LNU02027714,1981,M03,1981 Mar,8530
LNU02027714,1981,M04,1981 Apr,8698
LNU02027714,1981,M05,1981 May,8795
LNU02027714,1981,M06,1981 Jun,8901
LNU02027714,1981,M07,1981 Jul,8885
LNU02027714,1981,M08,1981 Aug,8901
LNU02027714,1981,M09,1981 Sep,8946
LNU02027714,1981,M10,1981 Oct,8914
LNU02027714,1981,M11,1981 Nov,8761
LNU02027714,1981,M12,1981 Dec,8593
LNU02027714,1982,M01,1982 Jan,8310
LNU02027714,1982,M02,1982 Feb,8483
LNU02027714,1982,M03,1982 Mar,8591
LNU02027714,1982,M04,1982 Apr,8814
LNU02027714,1982,M05,1982 May,9140
LNU02027714,1982,M06,1982 Jun,9103
LNU02027714,1982,M07,1982 Jul,9172
LNU02027714,1982,M08,1982 Aug,9130
LNU02027714,1982,M09,1982 Sep,9137
LNU02027714,1982,M10,1982 Oct,9092
LNU02027714,1982,M11,1982 Nov,8954
LNU02027714,1982,M12,1982 Dec,8853
LNU02027714,1983,M01,1983 Jan,8685
LNU02027714,1983,M02,1983 Feb,8708
LNU02027714,1983,M03,1983 Mar,8844
LNU02027714,1983,M04,1983 Apr,9056
LNU02027714,1983,M05,1983 May,9162
LNU02027714,1983,M06,1983 Jun,9247
LNU02027714,1983,M07,1983 Jul,9408
LNU02027714,1983,M08,1983 Aug,9395
LNU02027714,1983,M09,1983 Sep,9294
LNU02027714,1983,M10,1983 Oct,9356
LNU02027714,1983,M11,1983 Nov,9373
LNU02027714,1983,M12,1983 Dec,9185
LNU02027714,1984,M01,1984 Jan,9185
LNU02027714,1984,M02,1984 Feb,9159
LNU02027714,1984,M03,1984 Mar,9116
LNU02027714,1984,M04,1984 Apr,9334
LNU02027714,1984,M05,1984 May,9400
LNU02027714,1984,M06,1984 Jun,9549
LNU02027714,1984,M07,1984 Jul,9514
LNU02027714,1984,M08,1984 Aug,9583
LNU02027714,1984,M09,1984 Sep,9422
LNU02027714,1984,M10,1984 Oct,9382
LNU02027714,1984,M11,1984 Nov,9286
LNU02027714,1984,M12,1984 Dec,9127
LNU02027714,1985,M01,1985 Jan,9044
LNU02027714,1985,M02,1985 Feb,8923
LNU02027714,1985,M03,1985 Mar,9084
LNU02027714,1985,M04,1985 Apr,9168
LNU02027714,1985,M05,1985 May,9268
LNU02027714,1985,M06,1985 Jun,9297
LNU02027714,1985,M07,1985 Jul,9371
LNU02027714,1985,M08,1985 Aug,9558
LNU02027714,1985,M09,1985 Sep,9329
LNU02027714,1985,M10,1985 Oct,9590
LNU02027714,1985,M11,1985 Nov,9416
LNU02027714,1985,M12,1985 Dec,9178
LNU02027714,1986,M01,1986 Jan,8930
LNU02027714,1986,M02,1986 Feb,8841
LNU02027714,1986,M03,1986 Mar,8923
LNU02027714,1986,M04,1986 Apr,9001
LNU02027714,1986,M05,1986 May,9286
LNU02027714,1986,M06,1986 Jun,9428
LNU02027714,1986,M07,1986 Jul,9672
LNU02027714,1986,M08,1986 Aug,9621
LNU02027714,1986,M09,1986 Sep,9500
LNU02027714,1986,M10,1986 Oct,9643
LNU02027714,1986,M11,1986 Nov,9703
LNU02027714,1986,M12,1986 Dec,9381
LNU02027714,1987,M01,1987 Jan,9316
LNU02027714,1987,M02,1987 Feb,9304
LNU02027714,1987,M03,1987 Mar,9224
LNU02027714,1987,M04,1987 Apr,9504
LNU02027714,1987,M05,1987 May,9593
LNU02027714,1987,M06,1987 Jun,9799
LNU02027714,1987,M07,1987 Jul,9851
LNU02027714,1987,M08,1987 Aug,9869
LNU02027714,1987,M09,1987 Sep,9695
LNU02027714,1987,M10,1987 Oct,9965
LNU02027714,1987,M11,1987 Nov,9701
LNU02027714,1987,M12,1987 Dec,9668
LNU02027714,1988,M01,1988 Jan,9385
LNU02027714,1988,M02,1988 Feb,9420
LNU02027714,1988,M03,1988 Mar,9499
LNU02027714,1988,M04,1988 Apr,9889
LNU02027714,1988,M05,1988 May,10264
LNU02027714,1988,M06,1988 Jun,10034
LNU02027714,1988,M07,1988 Jul,10087
LNU02027714,1988,M08,1988 Aug,10186
LNU02027714,1988,M09,1988 Sep,10092
LNU02027714,1988,M10,1988 Oct,10054
LNU02027714,1988,M11,1988 Nov,10230
LNU02027714,1988,M12,1988 Dec,9859
LNU02027714,1989,M01,1989 Jan,9804
LNU02027714,1989,M02,1989 Feb,9605
LNU02027714,1989,M03,1989 Mar,9718
LNU02027714,1989,M04,1989 Apr,10022
LNU02027714,1989,M05,1989 May,9970
LNU02027714,1989,M06,1989 Jun,10117
LNU02027714,1989,M07,1989 Jul,10231
LNU02027714,1989,M08,1989 Aug,10290
LNU02027714,1989,M09,1989 Sep,10109
LNU02027714,1989,M10,1989 Oct,10265
LNU02027714,1989,M11,1989 Nov,9988
LNU02027714,1989,M12,1989 Dec,9937
LNU02027714,1990,M01,1990 Jan,9775
LNU02027714,1990,M02,1990 Feb,9599
LNU02027714,1990,M03,1990 Mar,9930
LNU02027714,1990,M04,1990 Apr,10060
LNU02027714,1990,M05,1990 May,10236
LNU02027714,1990,M06,1990 Jun,10322
LNU02027714,1990,M07,1990 Jul,10210
LNU02027714,1990,M08,1990 Aug,10168
LNU02027714,1990,M09,1990 Sep,10106
LNU02027714,1990,M10,1990 Oct,10389
LNU02027714,1990,M11,1990 Nov,10160
LNU02027714,1990,M12,1990 Dec,10210
LNU02027714,1991,M01,1991 Jan,9831
LNU02027714,1991,M02,1991 Feb,9845
LNU02027714,1991,M03,1991 Mar,10020
LNU02027714,1991,M04,1991 Apr,10572
LNU02027714,1991,M05,1991 May,10169
LNU02027714,1991,M06,1991 Jun,10488
LNU02027714,1991,M07,1991 Jul,10462
LNU02027714,1991,M08,1991 Aug,10435
LNU02027714,1991,M09,1991 Sep,10430
LNU02027714,1991,M10,1991 Oct,10578
LNU02027714,1991,M11,1991 Nov,10430
LNU02027714,1991,M12,1991 Dec,10022
LNU02027714,1992,M01,1992 Jan,9593
LNU02027714,1992,M02,1992 Feb,9650
LNU02027714,1992,M03,1992 Mar,9742
LNU02027714,1992,M04,1992 Apr,9744
LNU02027714,1992,M05,1992 May,9958
LNU02027714,1992,M06,1992 Jun,10076
LNU02027714,1992,M07,1992 Jul,10182
LNU02027714,1992,M08,1992 Aug,10185
LNU02027714,1992,M09,1992 Sep,10140
LNU02027714,1992,M10,1992 Oct,10171
LNU02027714,1992,M11,1992 Nov,10136
LNU02027714,1992,M12,1992 Dec,9944
LNU02027714,1993,M01,1993 Jan,9832
LNU02027714,1993,M02,1993 Feb,9988
LNU02027714,1993,M03,1993 Mar,9926
LNU02027714,1993,M04,1993 Apr,10160
LNU02027714,1993,M05,1993 May,10593
LNU02027714,1993,M06,1993 Jun,10584
LNU02027714,1993,M07,1993 Jul,10574
LNU02027714,1993,M08,1993 Aug,10469
LNU02027714,1993,M09,1993 Sep,10326
LNU02027714,1993,M10,1993 Oct,10364
LNU02027714,1993,M11,1993 Nov,10393
LNU02027714,1993,M12,1993 Dec,10146
LNU02027714,1994,M01,1994 Jan,10248
LNU02027714,1994,M02,1994 Feb,10548
LNU02027714,1994,M03,1994 Mar,10524
LNU02027714,1994,M04,1994 Apr,10589
LNU02027714,1994,M05,1994 May,10906
LNU02027714,1994,M06,1994 Jun,10757
LNU02027714,1994,M07,1994 Jul,10821
LNU02027714,1994,M08,1994 Aug,10925
LNU02027714,1994,M09,1994 Sep,10692
LNU02027714,1994,M10,1994 Oct,10583
LNU02027714,1994,M11,1994 Nov,10650
LNU02027714,1994,M12,1994 Dec,10527
LNU02027714,1995,M01,1995 Jan,10301
LNU02027714,1995,M02,1995 Feb,10348
LNU02027714,1995,M03,1995 Mar,10330
LNU02027714,1995,M04,1995 Apr,10395
LNU02027714,1995,M05,1995 May,10543
LNU02027714,1995,M06,1995 Jun,10565
LNU02027714,1995,M07,1995 Jul,10841
LNU02027714,1995,M08,1995 Aug,10636
LNU02027714,1995,M09,1995 Sep,10562
LNU02027714,1995,M10,1995 Oct,10580
LNU02027714,1995,M11,1995 Nov,10377
LNU02027714,1995,M12,1995 Dec,10305
LNU02027714,1996,M01,1996 Jan,10128
LNU02027714,1996,M02,1996 Feb,10281
LNU02027714,1996,M03,1996 Mar,10476
LNU02027714,1996,M04,1996 Apr,10474
LNU02027714,1996,M05,1996 May,10457
LNU02027714,1996,M06,1996 Jun,10660
LNU02027714,1996,M07,1996 Jul,10775
LNU02027714,1996,M08,1996 Aug,10591
LNU02027714,1996,M09,1996 Sep,10441
LNU02027714,1996,M10,1996 Oct,10633
LNU02027714,1996,M11,1996 Nov,10470
LNU02027714,1996,M12,1996 Dec,10489
LNU02027714,1997,M01,1997 Jan,10554
LNU02027714,1997,M02,1997 Feb,10290
LNU02027714,1997,M03,1997 Mar,10593
LNU02027714,1997,M04,1997 Apr,10525
LNU02027714,1997,M05,1997 May,10634
LNU02027714,1997,M06,1997 Jun,10666
LNU02027714,1997,M07,1997 Jul,10630
LNU02027714,1997,M08,1997 Aug,10555
LNU02027714,1997,M09,1997 Sep,10521
LNU02027714,1997,M10,1997 Oct,10454
LNU02027714,1997,M11,1997 Nov,10475
LNU02027714,1997,M12,1997 Dec,10264
LNU02027714,1998,M01,1998 Jan,10050
LNU02027714,1998,M02,1998 Feb,9893
LNU02027714,1998,M03,1998 Mar,9987
LNU02027714,1998,M04,1998 Apr,10368
LNU02027714,1998,M05,1998 May,10498
LNU02027714,1998,M06,1998 Jun,10592
LNU02027714,1998,M07,1998 Jul,10710
LNU02027714,1998,M08,1998 Aug,10404
LNU02027714,1998,M09,1998 Sep,10500
LNU02027714,1998,M10,1998 Oct,10400
LNU02027714,1998,M11,1998 Nov,10252
LNU02027714,1998,M12,1998 Dec,9986
LNU02027714,1999,M01,1999 Jan,9861
LNU02027714,1999,M02,1999 Feb,9730
LNU02027714,1999,M03,1999 Mar,9909
LNU02027714,1999,M04,1999 Apr,10206
LNU02027714,1999,M05,1999 May,10135
LNU02027714,1999,M06,1999 Jun,10398
LNU02027714,1999,M07,1999 Jul,10403
LNU02027714,1999,M08,1999 Aug,10436
LNU02027714,1999,M09,1999 Sep,10110
LNU02027714,1999,M10,1999 Oct,10253
LNU02027714,1999,M11,1999 Nov,9908
LNU02027714,1999,M12,1999 Dec,9693
LNU02027714,2000,M01,2000 Jan,10087
