"Country or Area";"SNA93 Table Code";"Sub Group";"Item";"SNA93 Item Code";"Year";"Series";"Currency";"SNA System";"Fiscal Year Type";"Value";"Value Footnotes"
"United States";"4.5";"I. Production account - Uses";"VALUE ADDED GROSS, at basic prices";"B.1g";"2020";"1000";"US dollar";"2008";"Western calendar year";"2575961676000";""
"United States";"4.5";"I. Production account - Uses";"Less: Consumption of fixed capital";"K.1";"2020";"1000";"US dollar";"2008";"Western calendar year";"573621296000";""
"United States";"4.5";"II.1.1 Generation of income account - Uses";"Compensation of employees";"D.1";"2020";"1000";"US dollar";"2008";"Western calendar year";"2029937231000";""
"United States";"4.5";"II.1.2 Allocation of primary income account - Resources";"Taxes on production and imports, less Subsidies";"D.2-D.3";"2020";"1000";"US dollar";"2008";"Western calendar year";"773260343000";""
"United States";"4.5";"I. Production account - Uses";"VALUE ADDED GROSS, at basic prices";"B.1g";"2019";"1000";"US dollar";"2008";"Western calendar year";"2504313298000";""
"United States";"4.5";"I. Production account - Uses";"Less: Consumption of fixed capital";"K.1";"2019";"1000";"US dollar";"2008";"Western calendar year";"555164144000";""
"United States";"4.5";"II.1.1 Generation of income account - Uses";"Compensation of employees";"D.1";"2019";"1000";"US dollar";"2008";"Western calendar year";"1980910526000";""
"United States";"4.5";"II.1.2 Allocation of primary income account - Resources";"Taxes on production and imports, less Subsidies";"D.2-D.3";"2019";"1000";"US dollar";"2008";"Western calendar year";"1459389904000";""
"United States";"4.5";"I. Production account - Uses";"VALUE ADDED GROSS, at basic prices";"B.1g";"2018";"1000";"US dollar";"2008";"Western calendar year";"2429915054000";""
"United States";"4.5";"I. Production account - Uses";"Less: Consumption of fixed capital";"K.1";"2018";"1000";"US dollar";"2008";"Western calendar year";"535358113000";""
"United States";"4.5";"II.1.1 Generation of income account - Uses";"Compensation of employees";"D.1";"2018";"1000";"US dollar";"2008";"Western calendar year";"1922829319000";""
"United States";"4.5";"II.1.2 Allocation of primary income account - Resources";"Taxes on production and imports, less Subsidies";"D.2-D.3";"2018";"1000";"US dollar";"2008";"Western calendar year";"1398416107000";""
"United States";"4.5";"I. Production account - Uses";"VALUE ADDED GROSS, at basic prices";"B.1g";"2017";"1000";"US dollar";"2008";"Western calendar year";"2333355421000";""
"United States";"4.5";"I. Production account - Uses";"Less: Consumption of fixed capital";"K.1";"2017";"1000";"US dollar";"2008";"Western calendar year";"513505929000";""
"United States";"4.5";"II.1.1 Generation of income account - Uses";"Compensation of employees";"D.1";"2017";"1000";"US dollar";"2008";"Western calendar year";"1846939009000";""
"United States";"4.5";"II.1.2 Allocation of primary income account - Resources";"Taxes on production and imports, less Subsidies";"D.2-D.3";"2017";"1000";"US dollar";"2008";"Western calendar year";"1306439061000";""
"United States";"4.5";"I. Production account - Uses";"VALUE ADDED GROSS, at basic prices";"B.1g";"2016";"1000";"US dollar";"2008";"Western calendar year";"2276730619000";""
"United States";"4.5";"I. Production account - Uses";"Less: Consumption of fixed capital";"K.1";"2016";"1000";"US dollar";"2008";"Western calendar year";"499644490000";""
"United States";"4.5";"II.1.1 Generation of income account - Uses";"Compensation of employees";"D.1";"2016";"1000";"US dollar";"2008";"Western calendar year";"1798954790000";""
"United States";"4.5";"II.1.2 Allocation of primary income account - Resources";"Taxes on production and imports, less Subsidies";"D.2-D.3";"2016";"1000";"US dollar";"2008";"Western calendar year";"1249887764000";""
"United States";"4.5";"I. Production account - Uses";"VALUE ADDED GROSS, at basic prices";"B.1g";"2015";"1000";"US dollar";"2008";"Western calendar year";"2234090679000";""
"United States";"4.5";"I. Production account - Uses";"Less: Consumption of fixed capital";"K.1";"2015";"1000";"US dollar";"2008";"Western calendar year";"496115191000";""
"United States";"4.5";"II.1.1 Generation of income account - Uses";"Compensation of employees";"D.1";"2015";"1000";"US dollar";"2008";"Western calendar year";"1758064369000";""
"United States";"4.5";"II.1.2 Allocation of primary income account - Resources";"Taxes on production and imports, less Subsidies";"D.2-D.3";"2015";"1000";"US dollar";"2008";"Western calendar year";"1217960361000";""
